2026-03-27 11:18:52 | INFO     | src.engine.node_engine | 工作流执行完成: 未命名工作流 - 2/2 成功
2026-03-27 11:18:59 | INFO     | src.ui.node_editor.view | 删除连接: e05904ef...
2026-03-27 11:18:59 | INFO     | src.ui.node_editor.view | 删除节点: bf45c922...
2026-03-27 11:19:02 | INFO     | src.ui.node_editor.panel | 拖放添加节点: test.multi_text_input at (-260, -46)
2026-03-27 11:19:10 | INFO     | src.ui.node_editor.scene | 创建连接: 139f4eef...:combined -> cbc269f2...:input
2026-03-27 11:19:16 | INFO     | src.engine.node_engine | 开始执行工作流: 未命名工作流
2026-03-27 11:19:16 | INFO     | src.engine.node_engine | 工作流执行完成: 未命名工作流 - 2/2 成功
2026-03-27 11:19:53 | INFO     | src.ui.node_editor.panel | 拖放添加节点: test.text_input at (-213, 49)
2026-03-27 11:20:11 | INFO     | src.ui.node_editor.scene | 创建连接: cb9bb3bd...:output -> 139f4eef...:text1
2026-03-27 11:20:17 | INFO     | src.engine.node_engine | 开始执行工作流: 未命名工作流
2026-03-27 11:20:17 | INFO     | src.engine.node_engine | 工作流执行完成: 未命名工作流 - 3/3 成功
2026-03-27 11:29:33 | INFO     | __main__ | ==================================================
2026-03-27 11:29:33 | INFO     | __main__ | 办公小工具整合平台 启动
2026-03-27 11:29:33 | INFO     | __main__ | ==================================================
2026-03-27 11:29:33 | INFO     | src.core.app_context | 开始初始化 AppContext...
2026-03-27 11:29:33 | INFO     | src.storage.database | 数据库引擎创建: data/app.db
2026-03-27 11:29:33 | INFO     | src.storage.database | 数据库表创建完成: data/app.db
2026-03-27 11:29:33 | INFO     | src.core.app_context | 数据库初始化完成: data/app.db
2026-03-27 11:29:33 | INFO     | src.core.app_context | AppContext 初始化完成
2026-03-27 11:29:33 | INFO     | __main__ | AppContext 初始化完成
2026-03-27 11:29:33 | INFO     | src.core.plugin_manager | 发现插件: test_widgets v1.0.0 (plugins/test_widgets)
2026-03-27 11:29:33 | INFO     | src.core.plugin_manager | 发现插件: text_processing v1.0.0 (plugins/text_processing)
2026-03-27 11:29:33 | INFO     | __main__ | 发现 2 个插件: ['test_widgets', 'text_processing']
2026-03-27 11:29:33 | INFO     | src.core.permission_manager | 批量授权: 插件 'test_widgets' 获得权限: ['node.register']
